"osm_id"	"name"	"addr.city"	"addr.country"	"addr.housename"	"addr.housenumber"	"addr.postcode"	"addr.street"	"addr.suburb"	"brand"	"brand.wikidata"	"brand.wikipedia"	"contact.phone"	"contact.website"	"email"	"fax"	"note"	"old_name"	"opening_hours"	"operator"	"organic"	"payment.cash"	"payment.coins"	"payment.contactless"	"payment.credit_cards"	"payment.debit_cards"	"payment.girocard"	"payment.mastercard"	"payment.notes"	"payment.visa"	"phone"	"ref"	"shop"	"source"	"source.date"	"toilets.wheelchair"	"website"	"wheelchair"	"building"	"building.colour"	"building.height"	"building.levels"	"building.part"	"contact.email"	"contact.mobile"	"height"	"internet_access"	"roof.colour"	"roof.levels"	"roof.shape"	"geometry"
32916453	"tegut, 34128 Kassel"	"Kassel"	"DE"	NA	"1"	"34128"	"Zum Hirtenkamp"	NA	"Tegut"	NA	NA	NA	NA	NA	NA	NA	NA	"Mo-Sa 07:00-22:00"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	NA	NA	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.444579, 51.3443565)"
33005364	"Tegut, 34121 Kassel, Wilhelmshöher Allee 89"	"Kassel"	NA	NA	"89"	"34121"	"Wilhelmshöher Allee"	NA	"Tegut"	"Q1547993"	"en:Tegut"	NA	NA	NA	NA	NA	NA	"Mo-Sa 07:00-22:00"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	NA	"https://www.tegut.com/"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.4720408, 51.3120136)"
278573598	"Edeka Center \Herkules\"	"Baunatal"	NA	NA	"16"	"34225"	"Marktplatz"	NA	"Edeka"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"+49 561 491920"	NA	"supermarket"	NA	NA	"yes"	"https://www.herkulesmarkt.de/"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.4128682, 51.2538708)"
317223138	"Rewe, 34121 Kassel, Sternbergstraße 10-12"	"Kassel"	"DE"	NA	"10-12"	"34121"	"Sternbergstraße"	"Wehlheiden"	"Rewe"	"Q16968817"	"en:REWE"	NA	NA	NA	NA	NA	NA	"Mo-Sa 07:00-22:00"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"+49 561 310590"	NA	"supermarket"	NA	NA	NA	"https://www.rewe.de/marktseite/rewe-markt-kassel-wehlheiden-sternbergstra%C3%9Fe-10-12"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.466805, 51.3066974)"
387732616	"Rewe, 34121 Kassel, Wittrockstraße "	"Kassel"	NA	NA	""	"34121"	"Wittrockstraße"	NA	"Rewe"	"Q16968817"	"en:REWE"	NA	NA	NA	NA	NA	NA	"Mo-Sa 06:00-24:00"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	NA	NA	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.4641999, 51.3116192)"
387732617	"Aldi Nord, 34121 Kassel"	"Kassel"	"DE"	NA	"3"	"34121"	"Wittrockstraße"	"Wehlheiden"	"Aldi"	NA	NA	NA	NA	NA	NA	NA	NA	"Mo-Sa 07:00-21:00"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	NA	NA	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.4645456, 51.3114489)"
387735990	"Rewe, 34119 Kassel"	"Kassel"	NA	NA	"104"	"34119"	"Friedrich-Ebert-Straße "	NA	"Rewe"	"Q16968817"	"en:REWE"	NA	NA	NA	NA	NA	NA	"Mo-Fr 06:00-24:00; Sa 06:00-23:30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	NA	NA	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.472619, 51.3161023)"
399037442	"Penny, 34346 Hann. Münden, Ziegelstraße 20"	"Hann. Münden"	"DE"	NA	"20"	"34346"	"Ziegelstraße"	NA	"Penny"	"Q284688"	"en:Penny (supermarket)"	NA	NA	NA	NA	NA	NA	"Mo-Sa 08:00-21:00"	"Penny-Markt GmbH"	NA	NA	"yes"	"yes"	NA	NA	"yes"	"yes"	"yes"	"yes"	"+49 221 20199959"	1000	"supermarket"	"http://www.penny.de/"	"2016-01-18"	NA	"http://www.penny.de/"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.6506119, 51.4169809)"
418747182	"Penny, 34281 Gudensberg"	"Gudensberg"	NA	NA	"25"	"34281"	"Schwimmbadweg"	NA	"Penny"	"Q284688"	"en:Penny (supermarket)"	NA	NA	NA	NA	NA	NA	"Mo-Sa 07:30-20:00"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	NA	"https://www.penny.de/"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.3630645, 51.1741083)"
430338552	"Edeka, 34119 Kassel"	"Kassel"	NA	NA	"159"	"34119"	"Friedrich-Ebert-Straße "	NA	"Edeka"	NA	NA	NA	NA	NA	NA	NA	NA	"Mo-Sa 07:00-21:00"	"EDEKA-Gruppe"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	NA	NA	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.4631248, 51.3159549)"
